trade_date,security_id,quantity_internal,unit_price_internal,market_value_internal,statement_date,quantity_custodian,unit_price_custodian,market_value_custodian,ticker,security_name,asset_class,currency,qty_variance,mv_variance,exception_type
2026-07-22,ALT_INF_MEL,3,1389913.0,4169739.0,2026-07-22,3,1389913.0,3810307.33,MEL_AIRPORT,Melbourne Airport Infrastructure Fund,Unlisted/Alternatives,AUD,0,359431.6699999999,UNLISTED_VALUATION_LAG
2026-07-22,ALT_INF_WIND,2,1446797.0,2893594.0,2026-07-22,2,1446797.0,2893594.0,WINDFARM_02,Southern Ranges Windfarm Trust,Unlisted/Alternatives,AUD,0,0.0,MATCHED
2026-07-22,ALT_PE_COLLINS,4,596769.0,2387076.0,2026-07-22,4,596769.0,2183729.77,COLLINS_PE,Collins St Private Equity Fund III,Unlisted/Alternatives,AUD,0,203346.22999999998,UNLISTED_VALUATION_LAG
2026-07-22,ALT_PROP_LOG,3,887879.0,2663637.0,2026-07-22,3,887879.0,2663637.0,LOGISTICS_HUB,National Logistics Property Trust,Unlisted/Alternatives,AUD,0,0.0,MATCHED
2026-07-22,AU_EQ_A200,5055,342.23,1729972.65,2026-07-22,5055,342.23,1729972.65,A200,Betashares Australia 200 ETF,AU Equities,AUD,0,0.0,MATCHED
2026-07-22,AU_EQ_BHP,7770,441.15,3427735.5,2026-07-22,7770,441.15,3427735.5,BHP,BHP Group Ltd,AU Equities,AUD,0,0.0,MATCHED
2026-07-22,AU_EQ_CBA,5890,406.62,2394991.8,2026-07-22,5845,406.62,2376693.9,CBA,Commonwealth Bank of Australia,AU Equities,AUD,45,18297.899999999907,CA_DRP_TIMING_LAG
2026-07-22,AU_EQ_CSL,12464,334.31,4166839.84,2026-07-22,12464,334.31,4166839.84,CSL,CSL Limited,AU Equities,AUD,0,0.0,MATCHED
2026-07-22,AU_EQ_MQG,7449,15.42,114863.58,2026-07-22,7449,15.42,114863.58,MQG,Macquarie Group,AU Equities,AUD,0,0.0,MATCHED
2026-07-22,AU_EQ_NAB,6765,98.46,666081.9,2026-07-22,6765,98.46,666081.9,NAB,National Australia Bank,AU Equities,AUD,0,0.0,MATCHED
2026-07-22,AU_EQ_RIO,1269,401.27,509211.63,2026-07-22,1269,401.27,509211.63,RIO,Rio Tinto Ltd,AU Equities,AUD,0,0.0,MATCHED
2026-07-22,AU_EQ_TLS,8822,26.01,229460.22,2026-07-22,8285,26.01,215492.85,TLS,Telstra Group,AU Equities,AUD,537,13967.369999999995,QUANTITY_BREAK
2026-07-22,AU_EQ_VAS,6896,246.09,1697036.64,2026-07-22,6896,246.09,1697036.64,VAS,Vanguard Australian Shares ETF,AU Equities,AUD,0,0.0,MATCHED
2026-07-22,AU_EQ_WES,4926,260.7,1284208.2,2026-07-22,4431,260.7,1155161.7,WES,Wesfarmers Ltd,AU Equities,AUD,495,129046.5,QUANTITY_BREAK
2026-07-22,AU_EQ_WOW,12136,336.6,4084977.6,2026-07-22,12136,336.6,4084977.6,WOW,Woolworths Group,AU Equities,AUD,0,0.0,MATCHED
2026-07-22,AU_EQ_XRO,5551,113.12,627929.12,2026-07-22,5551,113.12,627929.12,XRO,Xero Limited,AU Equities,AUD,0,0.0,MATCHED
2026-07-22,CASH_AUD,764685,1.0,764685.0,2026-07-22,716185,1.0,716185.0,CASH_AUD,Cash - Australian Dollar,Cash,AUD,48500,48500.0,CASH_BALANCE_BREAK
2026-07-22,CASH_USD,553531,1.0,553531.0,2026-07-22,553531,1.0,553531.0,CASH_USD,Cash - US Dollar,Cash,USD,0,0.0,MATCHED
2026-07-22,FI_AGB_2028,756508,102.5,77542070.0,2026-07-22,756508,102.5,77542070.0,AGB28,Australian Govt Bond 2028,Fixed Income,AUD,0,0.0,MATCHED
2026-07-22,FI_AGB_2031,1965689,95.88,188470261.32,2026-07-22,1965689,95.88,188470261.32,AGB31,Australian Govt Bond 2031,Fixed Income,AUD,0,0.0,MATCHED
2026-07-22,FI_CORP_CBA,2008349,99.68,200192228.32,2026-07-22,2008349,99.68,200192228.32,CCBA29,CBA Tier 2 Subordinated Note 2029,Fixed Income,AUD,0,0.0,MATCHED
2026-07-22,FI_CORP_TLS,2273415,101.8,231433647.0,2026-07-22,2273415,101.8,230970779.71,CTLS28,Telstra Corporate Bond 2028,Fixed Income,AUD,0,462867.28999999166,COUPON_TIMING_LAG
2026-07-22,FI_SEMI_QLD,1863715,96.66,180146691.9,2026-07-22,1863715,96.66,180146691.9,QTC30,Queensland Treasury Corp Bond 2030,Fixed Income,AUD,0,0.0,MATCHED
2026-07-22,FI_UST_2030,2703682,103.18,278965908.76,2026-07-22,2703682,103.18,278965908.76,UST30,US Treasury Note 2030,Fixed Income,USD,0,0.0,MATCHED
2026-07-22,US_EQ_AAPL,9166,342.34,3137888.44,2026-07-22,9166,342.34,3155407.47,AAPL,Apple Inc.,US Equities,USD,0,-17519.03000000026,FX_VALUATION_BREAK
2026-07-22,US_EQ_AMZN,689,63.47,43730.83,2026-07-22,689,63.47,43730.83,AMZN,Amazon.com Inc.,US Equities,USD,0,0.0,MATCHED
2026-07-22,US_EQ_GOOGL,3505,121.83,427014.15,2026-07-22,3505,121.83,427014.15,GOOGL,Alphabet Inc.,US Equities,USD,0,0.0,MATCHED
2026-07-22,US_EQ_JPM,2028,39.85,80815.8,2026-07-22,2028,38.96,79010.88,JPM,JPMorgan Chase & Co.,US Equities,USD,0,1804.9199999999983,PRICING_BREAK
2026-07-22,US_EQ_META,8234,541.03,4454841.02,2026-07-22,8234,528.15,4348787.1,META,Meta Platforms Inc.,US Equities,USD,0,106053.91999999993,PRICING_BREAK
2026-07-22,US_EQ_MSFT,8349,39.97,333709.53,2026-07-22,8349,39.97,333709.53,MSFT,Microsoft Corp.,US Equities,USD,0,0.0,MATCHED
2026-07-22,US_EQ_NVDA,3247,211.0,685117.0,2026-07-22,3247,211.0,685996.97,NVDA,NVIDIA Corp.,US Equities,USD,0,-879.9699999999721,FX_VALUATION_BREAK
2026-07-22,US_EQ_SPCX,11127,519.08,5775803.16,2026-07-22,11127,519.08,5775803.16,SPCX,Space Exploration Technologies Corp.,US Equities,USD,0,0.0,MATCHED
2026-07-22,US_EQ_VGS,11580,49.8,576684.0,2026-07-22,11580,49.8,576684.0,VGS,Vanguard International Shares ETF,US Equities,USD,0,0.0,MATCHED
2026-07-22,US_EQ_VTS,4390,378.96,1663634.4,2026-07-22,4390,378.96,1663634.4,VTS,Vanguard US Total Market ETF,US Equities,USD,0,0.0,MATCHED
